Glon,Glat,ra,dec,HIP,vmag,VarFlag,BTmag,VTmag,B-V
270.7065,38.4757,166.853794,-17.800979,54368,8.95,,10.932,9.135,1.496
189.6529,66.9326,167.17060700000002,33.871953000000005,54471,8.95,,9.777999999999999,9.036,0.679
2.0614,35.2074,237.738662,-6.3282940000000005,77633,8.95,,10.176,9.065,1.024
178.4193,50.4662,147.71953100000002,42.272191,48304,8.95,,10.122,9.031,0.943
16.9139,10.7068,265.846456,-9.009198,86734,8.95,,10.811,9.095,1.432
56.8009,49.9044,239.20296299999998,35.504327,78102,8.94,,9.725,8.892000000000001,0.68
115.2924,80.303,194.46029099999998,36.730188,63265,8.94,,10.204,9.062999999999999,0.95
170.9891,-27.7838,56.731567000000005,18.283960999999998,17657,8.94,,9.507,8.988999999999999,0.485
20.2548,-55.4788,333.603432,-29.102890000000002,109804,8.93,,10.67,9.038,1.3659999999999999
40.8211,46.1609,241.75555699999998,24.425292000000002,78950,8.92,,10.626,9.052,1.305
227.3991,75.6415,177.767476,22.743233,57795,8.92,,10.324000000000002,9.081,1.02
296.9609,36.2019,187.481185,-26.420556,60973,8.9,,9.798,8.915,0.772
137.979,46.104,164.68096599999998,67.592894,53661,8.9,,10.228,9.006,1.044
196.3533,-35.8858,63.93561700000001,-3.5284989999999996,19873,8.9,,9.083,8.886000000000001,0.188
88.3895,-33.6275,342.487249,20.970693,112743,8.9,,9.799,8.97,0.747
4.6002,-21.656,291.704964,-34.113071999999995,95613,8.9,,10.277000000000001,9.03,1.064
121.2563,68.8998,193.76471,48.216527,63038,8.89,,10.86,9.048,1.508
15.5749,8.3288,267.268732,-11.34148,87213,8.89,,10.662,9.081,1.3259999999999998
217.1889,-44.0208,63.217319999999994,-21.369274,19674,8.89,,10.372,9.024,1.17
303.999,-76.5055,12.531611999999999,-40.619976,3908,8.88,,9.666,8.948,0.6890000000000001
137.3136,-37.2867,25.370471,24.183515,7889,8.88,,9.342,8.901,0.409
102.0654,74.244,200.29758600000002,41.656886,65162,8.88,,10.339,8.966000000000001,1.13
356.856,83.282,198.757226,23.050646,64644,8.88,,10.402000000000001,8.971,1.2
170.9823,52.837,152.309177,46.283978999999995,49738,8.88,,9.675,8.963,0.657
186.2808,-59.2008,40.626172,-10.793377,12650,8.87,,10.504000000000001,8.976,1.284
192.1593,66.2041,166.128439,32.995519,54134,8.87,,9.482000000000001,8.939,0.509
112.7126,34.2877,241.158123,78.67753,78748,8.87,,10.329,8.995,1.1320000000000001
311.3078,67.8549,196.020014,5.18898,63756,8.87,,9.466000000000001,8.966000000000001,0.7
144.2059,-62.0828,22.641052,-0.83795,7028,8.87,,10.615,8.978,1.37
332.1681,38.5908,216.64459300000001,-18.820057000000002,70608,8.86,,9.953,8.927999999999999,0.84
13.5518,18.7766,257.165216,-7.633706,83881,8.85,,9.605,8.936,0.62
97.6462,38.3792,248.449431,66.055114,81090,8.85,,9.508,8.883,0.581
329.8958,43.4447,212.80696,-15.210381,69312,8.85,,10.225,8.962,1.0759999999999998
284.4064,76.8972,188.590004,14.643744,61356,8.84,,10.0,8.919,0.935
52.447,53.4439,234.82807000000003,32.912518,76665,8.84,,10.139,8.943999999999999,1.023
353.2427,44.378,226.371704,-5.009666,73843,8.83,,9.377,8.937000000000001,0.415
309.528,-58.5259,6.312241,-58.26566999999999,1994,8.83,,10.154,8.932,1.044
25.2628,16.2088,264.987557,0.758173,86460,8.83,,9.182,8.867,0.299
