0.000899 1.089009 9.10 
0.004265 -19.498840 9.27 
0.005024 38.859279 6.61 
0.008629 -51.893546 8.06 
0.009973 -40.591202 8.55 
0.022010 20.036114 9.64 
0.027343 25.886461 9.05 
0.035323 36.585958 8.59 
0.036416 -50.866976 8.59 
0.037336 46.939997 7.34 
0.040900 -35.960225 8.43 
0.041702 -22.594705 8.80 
0.048422 -0.360450 7.25 
0.050362 50.791187 8.60 
0.050990 -40.192393 8.15 
0.053309 38.304050 6.53 
0.063046 23.529228 8.51 
0.066388 8.007234 7.55 
0.070106 -49.352266 8.69 
0.074565 13.312234 7.57 
0.076387 -23.452695 9.05 
0.079564 -44.290561 6.28 
0.084088 -13.393378 9.13 
0.085910 -41.297813 9.32 
0.087212 -43.361821 8.83 
0.092231 -49.107945 9.14 
0.096108 42.141474 8.26 
0.098082 2.675477 7.63 
0.098582 51.939487 9.09 
0.099172 -10.462385 8.10 
0.099585 26.918108 6.43 
0.102968 -14.490484 9.07 
0.103399 12.267128 7.68 
0.113126 -79.061983 8.65 
0.112292 -16.697009 7.46 
0.116571 54.302237 8.70 
0.125443 25.844765 8.20 
0.128702 59.559679 6.18 
0.132749 -3.306323 7.91 
0.133909 -72.202717 9.59 
0.134585 -25.622285 8.57 
0.135236 -40.690474 7.31 
0.139568 16.669049 9.53 
0.143085 -53.097713 6.49 
0.143415 1.066213 8.94 
0.146891 -77.020116 8.56 
0.158833 -66.683173 7.40 
0.162927 0.222931 8.12 
0.167999 -69.675965 8.27 
0.173519 62.175898 7.05 
0.174446 55.722460 9.09 
0.175433 -64.465799 8.34 
0.176292 53.822146 8.86 
0.179975 -45.422739 8.27 
0.181810 45.253334 6.36 
0.184573 -27.907582 8.08 
0.188424 -72.318220 8.55 
0.199343 23.538219 7.83 
0.200383 16.988197 8.79 
0.201418 30.395890 8.33 
0.207025 36.780106 8.26 
0.219932 -12.828961 8.97 
0.220329 66.848011 6.90 
0.222345 35.752624 9.93 
0.223273 -50.446459 7.42 
0.228214 32.825654 9.03 
0.230575 -30.064166 8.41 
0.232312 17.867851 8.06 
0.235772 35.316720 8.69 
0.242833 -11.823739 8.40 
0.243414 -4.932534 8.57 
0.248017 -10.935964 9.50 
0.248073 52.080562 8.85 
0.252427 27.886330 9.61 
0.260463 69.603505 8.05 
0.261496 -5.835002 7.80 
0.269093 -48.809876 5.71 
0.277155 53.166943 7.87 
0.280082 -41.887544 7.64 
